
running 43 tests
test profiles::tests::two_installations_disagree_about_the_same_domain ... ok
test profiles::tests::without_a_name_the_machine_follows_the_domain ... ok
test quality::calibration::tests::a_handful_of_pages_produces_no_percentile_and_says_why ... ok
test quality::calibration::tests::a_number_out_of_range_or_no_number_at_all_cannot_corrupt_the_history ... ok
test quality::calibration::tests::classes_do_not_share_a_key ... ok
test quality::calibration::tests::history_survives_the_round_trip_and_a_row_from_another_build_is_discarded ... ok
test quality::calibration::tests::once_there_is_history_the_answer_arrives_with_its_width ... ok
test quality::calibration::tests::the_commonest_value_sits_in_the_middle_rather_than_at_the_top ... ok
test quality::credibility::tests::a_blank_byline_is_absent_rather_than_present_and_empty ... ok
test quality::credibility::tests::a_date_is_carried_verbatim_because_normalising_it_would_look_like_verifying_it ... ok
test quality::credibility::tests::a_hostless_or_bare_address_is_no_host_at_all ... ok
test quality::credibility::tests::a_link_home_after_a_redirect_is_not_a_citation ... ok
test quality::credibility::tests::a_page_that_says_nothing_about_itself_produces_nothing_to_report ... ok
test quality::credibility::tests::citations_are_counted_by_link_and_by_distinct_host ... ok
test quality::credibility::tests::first_seen_is_carried_through_untouched ... ok
test quality::diversity::tests::a_short_list_is_left_alone ... ok
test quality::diversity::tests::agreement_by_chance_costs_nothing_and_only_real_overlap_is_charged_for ... ok
test quality::diversity::tests::every_result_comes_back_exactly_once ... ok
test quality::diversity::tests::results_that_are_all_different_keep_the_order_they_arrived_in ... ok
test quality::diversity::tests::the_callers_first_choice_stays_first ... ok
test quality::diversity::tests::the_one_different_result_is_promoted_past_the_copies ... ok
test quality::provenance::tests::genuinely_different_reporting_is_counted_as_different ... ok
test quality::provenance::tests::nothing_is_ever_removed_only_labelled ... ok
test quality::provenance::tests::one_wire_story_on_five_sites_is_one_source ... ok
test quality::provenance::tests::two_empty_pages_are_not_evidence_of_syndication ... ok
test quality::substance::tests::a_bigram_is_not_the_same_feature_as_its_two_words ... ok
test quality::substance::tests::a_file_that_does_not_match_its_sidecar_is_refused_rather_than_reshaped ... ok
test quality::substance::tests::a_model_learns_to_tell_two_kinds_of_page_apart ... ok
test quality::substance::tests::a_model_survives_a_round_trip_through_its_file ... ok
test quality::substance::tests::an_untrained_model_is_undecided_rather_than_confident ... ok
test quality::substance::tests::something_that_is_not_a_model_is_not_read_as_one ... ok
test quality::substance::tests::word_order_inside_an_ngram_matters ... ok
test quality::tests::a_blob_of_base64_is_still_not_prose_even_though_it_has_no_spaces_either ... ok
test quality::tests::a_glossary_is_link_dense_and_that_alone_is_not_held_against_it ... ok
test quality::tests::a_page_in_a_script_without_spaces_is_a_page_and_not_a_hash ... ok
test quality::tests::a_page_in_another_language_is_judged_by_shape_and_nothing_else ... ok
test quality::tests::a_page_of_identifiers_is_not_mistaken_for_running_text ... ok
test quality::tests::a_page_that_is_almost_all_site_furniture_is_named_as_such_only_when_the_caller_can_know ... ok
test quality::tests::a_page_with_almost_no_words_is_thin_and_says_which_way ... ok
test quality::tests::a_page_with_nothing_notable_about_it_says_nothing ... ok
test quality::tests::a_redirect_that_still_lands_on_something_specific_is_not_reported ... ok
test quality::tests::a_review_that_earns_a_commission_is_still_a_review ... ok
test quality::tests::a_row_from_an_older_build_still_reads ... ok
test quality::tests::a_short_page_is_not_judged_by_a_ratio_that_cannot_mean_anything ... ok
test quality::tests::a_small_tidy_page_is_not_punished_for_having_no_boilerplate_to_dilute ... ok
test quality::tests::a_teaser_that_stops_mid_thought_is_partial_rather_than_thin ... ok
test quality::tests::an_affiliate_listicle_is_named_as_heavily_engineered ... ok
test quality::tests::an_empty_extraction_is_thin_without_panicking_on_the_arithmetic ... ok
test quality::tests::an_ordinary_article_has_nothing_said_about_it ... ok
test quality::tests::asking_for_an_article_and_getting_the_front_page_is_said_out_loud ... ok
test quality::tests::everything_measured_survives_a_round_trip_through_the_cache ... ok
test quality::tests::nonsense_beside_a_page_is_no_label_rather_than_a_guessed_one ... ok
test quality::tests::not_measured_is_not_the_same_as_measured_and_ordinary ... ok
test quality::tests::one_phrase_repeated_across_the_page_is_named_as_filler ... ok
test quality::tests::text_that_is_a_sliver_of_its_markup_is_reported_as_frame_not_content ... ok
test quality::tests::the_markup_ratio_still_reads_the_whole_document ... ok
test quality::tests::thinness_is_judged_on_what_the_caller_received_not_on_the_whole_page ... ok
test quality::tests::with_nothing_delivered_the_document_is_what_is_judged ... ok
test reputation::tests::a_blocked_request_costs_double_a_delivered_one ... ok
test reputation::tests::a_torn_ledger_does_not_read_as_an_empty_one ... ok
test reputation::tests::an_exhausted_budget_says_how_long_until_it_is_not ... ok
test reputation::tests::clearing_a_domain_forgets_every_exit_that_spent_on_it ... ok
test reputation::tests::every_tier_has_a_cost_and_they_rise_with_the_tier ... ok
test reputation::tests::one_exit_on_two_domains_does_not_share_a_budget_either ... ok
test reputation::tests::spend_halves_every_half_life ... ok
test reputation::tests::the_gap_multiplier_is_one_until_the_soft_line_then_climbs_to_the_cap ... ok
test reputation::tests::the_home_address_is_budgeted_like_an_exit ... ok
test reputation::tests::three_runs_of_the_published_protocol_fit_and_eight_spread_over_a_day_do_not ... ok
test reputation::tests::two_exits_on_one_domain_do_not_share_a_budget ... ok
test robots::tests::a_longer_allow_overrides_a_shorter_disallow ... ok
test robots::tests::a_malformed_file_does_not_panic_and_allows_everything ... ok
test robots::tests::a_named_agent_gets_its_own_group ... ok
test robots::tests::an_empty_disallow_means_allow_everything ... ok
test robots::tests::consecutive_user_agent_lines_share_one_group ... ok
test robots::tests::crawl_delay_is_read_and_capped ... ok
test robots::tests::directives_are_case_insensitive_and_comments_are_stripped ... ok
test robots::tests::policies_parse_from_their_words ... ok
test robots::tests::rfc_pattern_matching ... ok
test robots::tests::sitemaps_are_global_regardless_of_where_they_appear ... ok
test robots::tests::the_wildcard_group_applies_to_an_unknown_agent ... ok
test saturation::tests::a_query_with_no_early_hits_does_not_stop_immediately ... ok
test saturation::tests::an_empty_page_does_not_crash_or_count_as_novel ... ok
test saturation::tests::coverage_reaches_one_when_every_term_appears ... ok
test saturation::tests::genuinely_new_pages_never_saturate ... ok
test saturation::tests::repeating_the_same_page_saturates ... ok
test saturation::tests::the_shingle_set_stays_bounded ... ok
test saturation::tests::without_a_query_coverage_is_not_a_constraint ... ok
test selectors::tests::a_later_save_updates_only_the_fields_it_saw ... ok
test selectors::tests::fingerprints_are_scoped_by_domain_and_schema ... ok
test session::tests::a_deep_request_that_lands_on_the_front_page_is_a_block ... ok
test session::tests::a_front_page_request_that_returns_the_front_page_is_fine ... ok
test session::tests::a_named_wall_beats_every_other_signal ... ok
test session::tests::a_server_error_does_not_burn_the_session ... ok
test session::tests::a_success_with_no_content_is_a_block ... ok
test session::tests::a_sudden_collapse_in_speed_is_rate_limiting_not_a_block ... ok
test session::tests::one_block_does_not_retire_a_session_but_three_do ... ok
test session::tests::success_heals_but_never_past_full ... ok
test session::tests::the_statuses_that_really_are_refusals_are_treated_as_such ... ok
test sitemap::tests::a_feed_with_no_items_is_empty_not_an_error ... ok
test sitemap::tests::a_namespaced_prefix_does_not_hide_the_tags ... ok
test sitemap::tests::a_plain_text_sitemap_is_accepted ... ok
test sitemap::tests::a_truncated_sitemap_recovers_and_a_non_sitemap_errors ... ok
test sitemap::tests::a_urlset_yields_its_urls_and_dates ... ok
test sitemap::tests::an_index_yields_child_sitemaps_not_pages ... ok
test sitemap::tests::atom_entries_take_the_url_from_the_link_attribute ... ok
test sitemap::tests::gzip_is_detected_by_magic_bytes_not_by_extension ... ok
test sitemap::tests::rss_items_are_read ... ok
test sitemap::tests::the_url_cap_is_honoured_without_materialising_everything ... ok
test store::concurrency_tests::concurrent_inserts_do_not_lose_each_other ... ok
test store::tests::a_missing_or_corrupt_file_reads_as_empty ... ok
test store::tests::a_proxy_region_round_trips_and_a_typo_is_refused ... ok
test store::tests::insert_and_remove_persist_and_report_change ... ok
test store::tests::lookups_after_the_first_do_not_touch_disk ... ok
test store::tests::subdomains_inherit_the_parent_route ... ok
test template::tests::a_page_repeating_its_own_footer_is_still_one_page_of_evidence ... ok
test template::tests::a_page_that_is_entirely_furniture_comes_back_whole ... ok
test template::tests::a_passage_that_is_most_of_a_page_is_that_pages_content_however_often_it_repeats ... ok
test template::tests::a_record_survives_the_round_trip_and_nonsense_starts_again ... ok
test template::tests::nothing_is_stripped_until_the_site_has_actually_been_seen ... ok
test template::tests::once_it_is_armed_the_sites_own_furniture_goes_and_the_article_stays ... ok
test template::tests::one_domains_record_is_not_anothers ... ok
test throttle::tests::a_domain_near_its_budget_is_paced_more_slowly_than_a_fresh_one ... ok
test throttle::tests::a_fast_browser_domain_is_not_held_for_three_seconds ... ok
test throttle::tests::a_fast_domain_earns_a_shorter_gap_than_a_slow_one ... ok
test throttle::tests::a_pool_does_not_share_one_gap_across_its_exits ... ok
test throttle::tests::an_extreme_retry_after_is_capped ... ok
test throttle::tests::blocks_back_off_and_success_recovers ... ok
test throttle::tests::retry_after_reads_both_seconds_and_an_http_date ... ok
test throttle::tests::the_gap_stays_inside_the_tier_bounds ... ok
test throttle::tests::throttle_spaces_requests_and_never_starves ... ok
test token::tests::a_token_of_the_wrong_length_is_refused_without_comparing_bytes ... ok
test token::tests::a_token_that_differs_only_in_its_last_byte_is_refused ... ok
test token::tests::a_token_that_matches_is_accepted ... ok
test token::tests::an_empty_secret_matches_an_empty_offer_which_is_why_callers_must_refuse_one ... ok
test token::tests::no_token_at_all_is_not_a_match ... ok
test warm::tests::a_cap_of_zero_keeps_nothing_at_all ... ok
test warm::tests::a_cleared_page_behind_a_cookie_borne_wall_is_not_worth_keeping ... ok
test warm::tests::a_cleared_page_behind_a_runtime_borne_clearance_is_kept ... ok
test warm::tests::a_kept_page_is_retired_by_the_shared_verdict_rule_and_not_a_new_one ... ok
test warm::tests::a_page_parked_too_long_ago_is_never_handed_out ... ok
test warm::tests::a_page_that_never_cleared_is_never_kept ... ok
test warm::tests::a_page_wearing_a_borrowed_machine_is_never_kept ... ok
test warm::tests::a_page_whose_browser_was_reaped_is_dropped_not_handed_out ... ok
test warm::tests::a_parked_page_has_exactly_one_user_at_a_time ... ok
test warm::tests::an_isolated_fetch_leaves_nothing_behind_not_even_a_kept_page ... ok
test warm::tests::nothing_is_kept_at_the_http_tier ... ok
test warm::tests::only_a_verdict_the_shared_rule_calls_bad_retires_a_kept_page ... ok
test warm::tests::parking_the_same_key_twice_never_holds_two_tabs_for_one_domain ... ok
test warm::tests::renewal_has_time_but_never_exceeds_the_configured_budget ... ok
test warm::tests::the_cap_evicts_the_page_that_has_gone_longest_unused ... ok
test watch::tests::a_check_that_never_happened_is_reported_as_overdue ... ok
test watch::tests::a_different_page_is_a_change_and_the_same_page_is_not ... ok
test watch::tests::a_page_that_changes_back_still_counts_both_times ... ok
test watch::tests::a_watch_checked_a_moment_ago_is_not_due_again ... ok
test watch::tests::a_watch_survives_being_written_down_and_read_back ... ok
test watch::tests::a_watch_that_has_never_been_checked_is_due_immediately ... ok
test watch::tests::a_watch_written_by_an_older_version_still_reads ... ok
test watch::tests::an_interval_nobody_could_mean_is_raised_to_something_that_can_be_meant ... ok
test watch::tests::the_first_look_at_a_page_is_never_a_change ... ok
test watch::tests::the_longest_wait_goes_first ... ok
test watch::tests::two_watches_on_one_url_are_one_watch ... ok
test widget::tests::a_lookup_by_id_finds_the_row_and_an_unknown_one_is_none ... ok
test widget::tests::a_modality_that_needs_a_model_says_so ... ok
test widget::tests::a_widget_is_recognised_from_its_traffic ... ok
test widget::tests::attempt_budgets_reflect_what_a_retry_is_worth ... ok
test widget::tests::every_response_field_belongs_to_a_widget_that_declares_one ... ok
test widget::tests::every_row_is_complete_and_actionable ... ok
test widget::tests::no_widget_is_listed_twice ... ok
test widget::tests::the_url_match_ignores_case ... ok
test widget::tests::the_widgets_that_need_no_model_are_the_ones_we_can_actually_finish ... ok
test cache::tests::version_history_accumulates_newest_first ... ok

failures:

---- cache::tests::a_database_from_before_the_job_table_gains_it_rather_than_breaking stdout ----

thread 'cache::tests::a_database_from_before_the_job_table_gains_it_rather_than_breaking' (29148) panicked at crates\svipall-core\src\cache.rs:2419:48:
v4: SqliteFailure(Error { code: Unknown, extended_code: 1 }, Some("duplicate column name: exit"))
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace

---- cache::tests::a_database_from_before_the_verdict_gains_the_column_and_reads_null_for_its_old_rows stdout ----

thread 'cache::tests::a_database_from_before_the_verdict_gains_the_column_and_reads_null_for_its_old_rows' (14780) panicked at crates\svipall-core\src\cache.rs:1825:48:
v4: SqliteFailure(Error { code: Unknown, extended_code: 1 }, Some("duplicate column name: exit"))

---- cache::tests::a_database_from_before_the_log_gains_it_rather_than_breaking stdout ----

thread 'cache::tests::a_database_from_before_the_log_gains_it_rather_than_breaking' (55112) panicked at crates\svipall-core\src\cache.rs:1808:39:
open a v2 database: duplicate column name: exit

Caused by:
    Error code 1: SQL error or missing database

---- cache::tests::a_database_written_before_the_notes_existed_gains_them_rather_than_breaking stdout ----

thread 'cache::tests::a_database_written_before_the_notes_existed_gains_them_rather_than_breaking' (24636) panicked at crates\svipall-core\src\cache.rs:1954:39:
open an old database: duplicate column name: exit

Caused by:
    Error code 1: SQL error or missing database

---- cache::tests::pages_stored_before_the_bands_existed_are_findable_after_the_upgrade stdout ----

thread 'cache::tests::pages_stored_before_the_bands_existed_are_findable_after_the_upgrade' (46944) panicked at crates\svipall-core\src\cache.rs:1617:14:
v6 page table: SqlInputError { error: Error { code: Unknown, extended_code: 1 }, msg: "table page already exists", sql: "CREATE TABLE page (\n                   url_hash INTEGER PRIMARY KEY, url TEXT NOT NULL, final_url TEXT NOT NULL,\n                   domain TEXT NOT NULL, status INTEGER NOT NULL, tier TEXT NOT NULL,\n                   etag TEXT, last_modified TEXT, content_type TEXT NOT NULL DEFAULT '',\n                   title TEXT, markdown BLOB, simhash INTEGER NOT NULL DEFAULT 0,\n                   content_hash INTEGER NOT NULL DEFAULT 0, bytes INTEGER NOT NULL DEFAULT 0,\n                   fetched_at INTEGER NOT NULL, expires_at INTEGER NOT NULL,\n                   hits INTEGER NOT NULL DEFAULT 0, last_hit_at INTEGER, quality TEXT);", offset: 13 }


failures:
    cache::tests::a_database_from_before_the_job_table_gains_it_rather_than_breaking
    cache::tests::a_database_from_before_the_log_gains_it_rather_than_breaking
    cache::tests::a_database_from_before_the_verdict_gains_the_column_and_reads_null_for_its_old_rows
    cache::tests::a_database_written_before_the_notes_existed_gains_them_rather_than_breaking
    cache::tests::pages_stored_before_the_bands_existed_are_findable_after_the_upgrade

test result: FAILED. 511 passed; 5 failed; 0 ignored; 0 measured; 0 filtered out; finished in 3.53s

